phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
250,8640,48,0.005555555556,14,1,0,0,0,0,0,0,0,false
251,8640,60,0.006944444444,10,1,0,0,0,0,0,0,0,false
252,8640,53,0.006134259259,9,0,0,0,0,0,0,0,0,false
253,8640,63,0.007291666667,17,1,0,0,0,0,0,0,0,false
254,8640,56,0.006481481481,13,0,0,0,0,0,0,0,0,false
255,8640,57,0.006597222222,11,0,0,0,0,0,0,0,0,false
256,8640,76,0.008796296296,19,0,0,0,0,0,0,0,0,false
257,8640,74,0.008564814815,17,1,0,0,0,0,0,0,0,false
258,8640,60,0.006944444444,18,0,0,0,0,0,0,0,0,false
259,8640,76,0.008796296296,14,2,0,0,0,0,0,0,0,false
260,8640,61,0.007060185185,14,0,0,0,0,0,0,0,0,false
261,8640,75,0.008680555556,15,0,0,0,0,0,0,0,0,false
262,8640,53,0.006134259259,11,0,0,0,0,0,0,0,0,false
263,8640,72,0.008333333333,12,0,0,0,0,0,0,0,0,false
264,8640,55,0.006365740741,18,0,0,0,0,0,0,0,0,false
265,8640,54,0.00625,14,0,0,0,0,0,0,0,0,false
266,8640,62,0.007175925926,10,0,0,0,0,0,0,0,0,false
267,8640,57,0.006597222222,10,0,0,0,0,0,0,0,0,false
268,8640,62,0.007175925926,7,0,0,0,0,0,0,0,0,false
269,8640,53,0.006134259259,15,0,0,0,0,0,0,0,0,false
270,8640,65,0.007523148148,15,0,0,0,0,0,0,0,0,false
271,8640,81,0.009375,13,0,0,0,0,0,0,0,0,false
272,8640,59,0.006828703704,12,0,0,0,0,0,0,0,0,false
273,8640,59,0.006828703704,15,1,0,0,0,0,0,0,0,false
274,8640,55,0.006365740741,12,0,0,0,0,0,0,0,0,false
275,8640,72,0.008333333333,15,1,0,0,0,0,0,0,0,false
276,8640,59,0.006828703704,13,2,1,0,0,0,0,0,0,false
277,8640,68,0.00787037037,14,1,0,0,0,0,0,0,0,false
278,8640,55,0.006365740741,8,1,0,0,0,0,0,0,0,false
279,8640,67,0.00775462963,17,0,0,0,0,0,0,0,0,false
280,8640,55,0.006365740741,12,0,0,0,0,0,0,0,0,false
281,8640,66,0.007638888889,14,0,0,0,0,0,0,0,0,false
282,8640,75,0.008680555556,16,2,0,0,0,0,0,0,0,false
283,8640,60,0.006944444444,10,1,1,0,0,0,0,0,0,false
284,8640,54,0.00625,13,1,1,0,0,0,0,0,0,false
285,8640,52,0.006018518519,14,0,0,0,0,0,0,0,0,false
286,8640,70,0.008101851852,10,0,0,0,0,0,0,0,0,false
287,8640,66,0.007638888889,14,2,1,1,1,1,0,0,0,false
288,8640,59,0.006828703704,15,2,0,0,0,0,0,0,0,false
